Log for:/srv/http/tid4k/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2023-03-03T07:43:31Z
#=#=#=#=# Propagation starts 2023-03-03T07:43:32Z (last step: 393 msec , total: 393 msec) 
2023-03-03T07:43:32Z | welcome.php | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Down | | 1677829368 | a4955db20f0494787bf166c533e03321 | 801 | 00194479oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 200 | 1025 | 1677438611 | f74d06c7-ec93-4b2f-a16c-7f9e2e7d96b6 | 
#=#=#=# Syncrun finished 2023-03-03T07:43:32Z (last step: 708 msec , total: 1102 msec) 
#=#=#=# Syncrun started 2023-03-03T07:50:16Z
#=#=#=#=# Propagation starts 2023-03-03T07:50:17Z (last step: 1286 msec , total: 1286 msec) 
#=#=#=# Syncrun finished 2023-03-03T07:50:17Z (last step: 2 msec , total: 1288 msec) 
#=#=#=# Syncrun started 2023-03-03T09:50:21Z
#=#=#=#=# Propagation starts 2023-03-03T09:50:21Z (last step: 466 msec , total: 466 msec) 
#=#=#=# Syncrun finished 2023-03-03T09:50:21Z (last step: 3 msec , total: 469 msec) 
#=#=#=# Syncrun started 2023-03-03T11:50:26Z
#=#=#=#=# Propagation starts 2023-03-03T11:50:26Z (last step: 447 msec , total: 447 msec) 
#=#=#=# Syncrun finished 2023-03-03T11:50:26Z (last step: 3 msec , total: 451 msec) 
#=#=#=# Syncrun started 2023-03-03T13:03:41Z
#=#=#=#=# Propagation starts 2023-03-03T13:03:42Z (last step: 498 msec , total: 499 msec) 
2023-03-03T13:03:42Z | db.sql | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1677848609 | 829dd2b8030eec627cb7ca46bb354cc3 | 1215 | 00194680oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 250df2d8-5e80-46f5-8fc0-238d6a725e4e | 
#=#=#=# Syncrun finished 2023-03-03T13:03:42Z (last step: 315 msec , total: 814 msec) 
#=#=#=# Syncrun started 2023-03-03T14:18:51Z
#=#=#=#=# Propagation starts 2023-03-03T14:18:51Z (last step: 475 msec , total: 475 msec) 
#=#=#=# Syncrun finished 2023-03-03T14:18:51Z (last step: 3 msec , total: 479 msec) 
#=#=#=# Syncrun started 2023-03-03T14:18:53Z
#=#=#=#=# Propagation starts 2023-03-03T14:18:54Z (last step: 496 msec , total: 496 msec) 
#=#=#=# Syncrun finished 2023-03-03T14:18:54Z (last step: 2 msec , total: 499 msec) 
#=#=#=# Syncrun started 2023-03-03T14:22:03Z
#=#=#=#=# Propagation starts 2023-03-03T14:22:03Z (last step: 498 msec , total: 498 msec) 
2023-03-03T14:22:04Z | index.php | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1677853320 | 1ffe488f9fee432590af56e4c2b307ac | 3468 | 00194466oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 204 | 295 | 1677440862 | ad4b5303-7c02-46cf-a648-467f57231131 | 
#=#=#=# Syncrun finished 2023-03-03T14:22:04Z (last step: 500 msec , total: 998 msec) 
#=#=#=# Syncrun started 2023-03-03T14:22:21Z
#=#=#=#=# Propagation starts 2023-03-03T14:22:22Z (last step: 454 msec , total: 454 msec) 
#=#=#=# Syncrun finished 2023-03-03T14:22:22Z (last step: 4 msec , total: 459 msec) 
#=#=#=# Syncrun started 2023-03-03T14:27:59Z
#=#=#=#=# Propagation starts 2023-03-03T14:28:00Z (last step: 394 msec , total: 394 msec) 
